bench,INT,TEXT,DECIMAL,DATE,OTHER,total
tpcds,39.95,3.16,56.36,0.54,0.00,1109
tpch,10.61,9.09,80.30,0.00,0.00,66
ssb,100.00,0.00,0.00,0.00,0.00,19
dsb,39.41,11.76,48.24,0.59,0.00,680
jcch,11.29,9.68,79.03,0.00,0.00,62
job,1.36,98.64,0.00,0.00,0.00,295
clickbench,92.31,5.98,0.00,1.71,0.00,117
cab,9.46,8.55,81.99,0.00,0.00,18026
redbench,0.00,100.00,0.00,0.00,0.00,56
prodds,26.00,25.05,41.98,6.97,0.00,1377
snowflake,48.95,33.97,6.69,8.49,1.90,100.10000000000001
